"date","aret","aret_l1","aret_l5","aret_l22","vol_l1","vol_l5","vol_l22","hml_l1","hml_l5","hml_l22","vxv_l1","vxv_l5","vxv_l22","vxn_l1","vxn_l5","vxn_l22","vxd_l1","vxd_l5","vxd_l22"
"2018-01-05",0.696595070326822,1.34230291332509,0.603500166201769,0.485989780986307,34.3200943808007,35.0165402255513,34.371297249076,1.71562194824219,1.34183044433594,1.43636668812145,12.24,12.604,12.6431818181818,13.97,14.672,14.055,10.09,10.882,11.4945454545455
"2018-01-08",0.541390728143121,0.696595070326822,0.719455027399594,0.499069701757892,59.544385463604,45.6377536509108,36.7338790819335,1.66770935058594,1.5296875,1.40674244273793,12.06,12.464,12.5754545454545,13.48,14.444,13.8481818181818,10.21,10.72,11.3190909090909
"2018-01-09",0.817388122820351,0.541390728143121,0.727576043111142,0.502642216663621,10.0065968119878,47.456137522927,36.1431795167205,1.83062744140625,1.63511657714844,1.41153439608487,12.15,12.276,12.5122727272727,13.84,14.076,13.6990909090909,10.52,10.468,11.1686363636364
"2018-01-10",0.689911020830269,0.817388122820351,0.845465728151922,0.538010815430991,21.3439292579725,40.931412328689,36.5919463819951,1.87857055664062,1.7635498046875,1.4564077203924,12.41,12.236,12.465,14.63,14.016,13.6045454545455,10.91,10.44,11.0627272727273
"2018-01-11",0.526918358925599,0.689911020830269,0.81751757108913,0.561056618762726,28.0533490146238,30.6536709857978,36.2845132951756,2.01274108886719,1.82105407714844,1.50607299804687,12.36,12.244,12.4390909090909,15.28,14.24,13.5781818181818,10.66,10.478,10.9722727272727
"2018-01-12",0.72557434336753,0.526918358925599,0.654440660209232,0.573753785773266,9.52165127028213,25.6939823636941,35.2553269310078,0.948867797851562,1.66770324707031,1.50389515269886,12.16,12.228,12.4254545454545,14.77,14.4,13.5940909090909,10.54,10.568,10.9204545454545
"2018-01-16",0.744587216158799,0.72557434336753,0.660236514817374,0.593404833836859,0.607764961320534,13.9066582632374,31.220073952,1.61978149414062,1.65811767578125,1.53482679887251,12.2,12.256,12.4218181818182,14.57,14.618,13.6840909090909,10.9,10.706,10.9140909090909
"2018-01-17",0.328837957106654,0.744587216158799,0.700875812420509,0.611553545340593,37.8653779533243,19.4784144915047,32.0205783776184,2.46321105957031,1.78463439941406,1.57621418346058,13.23,12.472,12.4559090909091,16.34,15.118,13.8422727272727,12.58,11.118,10.9672727272727
"2018-01-18",0.398524791109534,0.328837957106654,0.60316577927777,0.566001330345751,7.87894447202326,16.7854175343148,29.9366974490726,1.43768310546875,1.69645690917969,1.49300315163352,13.25,12.64,12.49,16.2,15.432,13.9995454545455,12.99,11.534,11.0422727272727
"2018-01-19",0.575129430519183,0.398524791109534,0.544888533333623,0.508512944132952,17.4806806504462,14.6708838614793,28.5611280254347,1.8018798828125,1.65428466796875,1.43288213556463,13.58,12.884,12.5254545454545,16.95,15.766,14.2068181818182,12.95,11.992,11.1036363636364
