"date","aret","aret_l1","aret_l5","aret_l22","vol_l1","vol_l5","vol_l22","hml_l1","hml_l5","hml_l22","vxv_l1","vxv_l5","vxv_l22","vxn_l1","vxn_l5","vxn_l22","vxd_l1","vxd_l5","vxd_l22"
"2018-01-05",1.23217801412752,0.876290645479827,0.40813150924123,0.801117951173458,17.3420860472522,27.9918737150861,26.4839854400538,1.09000396728516,0.674000549316407,1.17136417735707,12.24,12.604,12.6431818181818,13.97,14.672,14.055,10.09,10.882,11.4945454545455
"2018-01-08",0.101996341873711,1.23217801412752,0.652237299256875,0.68225662355449,6.60049631841204,22.791299909055,25.5089433801962,0.980003356933594,0.794001770019532,1.04636417735707,12.06,12.464,12.5754545454545,13.48,14.444,13.8481818181818,10.21,10.72,11.3190909090909
"2018-01-09",0.0679891059242266,0.101996341873711,0.630591104962495,0.658390666719139,5.68737242696358,12.5460253568995,23.9399381134798,0.980003356933594,0.880001831054688,1.01363719593395,12.15,12.276,12.5122727272727,13.84,14.076,13.6990909090909,10.52,10.468,11.1686363636364
"2018-01-10",0.454414674851389,0.0679891059242266,0.548556047098003,0.595663560858521,12.6556657800478,11.4103289654832,24.5134926587438,0.870002746582031,0.892002868652345,0.975455544211649,12.41,12.236,12.465,14.63,14.016,13.6045454545455,10.91,10.44,11.0627272727273
"2018-01-11",0.295599652076728,0.454414674851389,0.546573756451334,0.600365516645858,4.36449114754964,9.33002234404505,24.1626611352095,0.779998779296875,0.940002441406251,0.974546259099788,12.36,12.244,12.4390909090909,15.28,14.24,13.5781818181818,10.66,10.478,10.9722727272727
"2018-01-12",1.71098740512132,0.295599652076728,0.430435557770714,0.522696508725818,4.62657692595982,6.78692051978658,24.1241229561549,0.889999389648438,0.900001525878906,0.958182594992899,12.16,12.228,12.4254545454545,14.77,14.4,13.5940909090909,10.54,10.568,10.9204545454545
"2018-01-16",1.4049008784327,1.71098740512132,0.526197435969475,0.543043638979945,30.9604490186146,11.6589110598271,25.2180918662504,1.33000183105469,0.970001220703126,0.961819041859021,12.2,12.256,12.4218181818182,14.57,14.618,13.6840909090909,10.9,10.706,10.9140909090909
"2018-01-17",2.00576526254084,1.4049008784327,0.786778343281274,0.588274879431831,41.0737221126581,18.736180996966,26.8778541057043,2.77999877929688,1.33000030517578,1.04409165815874,13.23,12.472,12.4559090909091,16.34,15.118,13.8422727272727,12.58,11.118,10.9672727272727
"2018-01-18",0.0443733853422223,2.00576526254084,1.1743335746046,0.667213908877094,35.6619909873217,23.3374460384208,28.1306813357264,1.52999877929688,1.46199951171875,1.07590970126065,13.25,12.64,12.49,16.2,15.432,13.9995454545455,12.99,11.534,11.0422727272727
"2018-01-19",0.111047077188076,0.0443733853422223,1.09232531670276,0.633944230968154,5.87341780082227,23.6392313690753,27.7909618203919,1.00999450683594,1.50799865722657,1.06090927124024,13.58,12.884,12.5254545454545,16.95,15.766,14.2068181818182,12.95,11.992,11.1036363636364
"2018-01-22",1.77307701622924,0.111047077188076,1.05541480172503,0.524514449059955,42.2847858889007,31.1708731616635,25.0430193229521,0.949996948242188,1.51999816894532,1.00363644686612,13.04,13.06,12.5690909090909,16.17,16.046,14.4018181818182,12.07,12.298,11.1718181818182
